create_date,text,model,price,factory_price,maker
2021.11.08. 17:24,나이키 에어맥스97 OG 실버불렛 / 나코탭 새제품 / 275,나이키 에어맥스 97,350000,199000,Nike
2021.11.08. 16:45,나이키 에어맥스97 페르시안 바이올렛 미개봉 275 팝니다,나이키 에어맥스 97,125000,199000,Nike
2021.11.08. 16:18,나이키에어맥스97 트리플화이트 235,나이키 에어맥스 97,130000,199000,Nike
2021.11.08. 16:15,나이키 에어맥스 97 250사이즈,나이키 에어맥스 97,2000,199000,Nike
2021.11.08. 16:14,나이키 에어맥스97 핑크크림 250,나이키 에어맥스 97,135000,199000,Nike
2021.11.08. 16:11,나이키 에어맥스97 235 새상품,나이키 에어맥스 97,95000,199000,Nike
2021.11.08. 16:11,나이키 에어맥스 97 921733-006 240 박스채 새상품,나이키 에어맥스 97,110000,199000,Nike
2021.11.08. 15:59,[팝니다]나이키 에어맥스 97 OG SP 푸에르토리코 실버 285mm 새제품 팝니다.,나이키 에어맥스 97,300000,199000,Nike
2021.11.08. 15:36,나이키 에어맥스97 카모지 275,나이키 에어맥스 97,130000,199000,Nike
2021.11.08. 14:41,나이키 우먼스 에어맥스 97 트리플화이트 나코택 부착 정품 판매중,나이키 에어맥스 97,165000,199000,Nike
2021.11.08. 14:30,나이키 에어맥스97 핑크 250 새상품,나이키 에어맥스 97,160000,199000,Nike
2021.11.08. 14:30,나이키에어맥스97 235 싸게내놓습니다,나이키 에어맥스 97,80000,199000,Nike
2021.11.08. 12:43,나이키 에어맥스97 240mm 여자신발 새제품 팝니다!,나이키 에어맥스 97,110000,199000,Nike
2021.11.08. 12:41,나이키 에어맥스97 260,나이키 에어맥스 97,80000,199000,Nike
2021.11.08. 12:06,나이키 에어맥스97 트리플블랙 285mm BQ4567-001,나이키 에어맥스 97,170000,199000,Nike
2021.11.08. 11:50,나이키 w에어맥스97 240 새상품,나이키 에어맥스 97,175000,199000,Nike
2021.11.08. 11:34,싸게 팔아요 ~ 나이키 에어맥스97 네온서울 풀박스 245 상태A 쿨거래,나이키 에어맥스 97,90000,199000,Nike
2021.11.08. 11:30,싸게 팔아요 ~ 나이키 에어맥스97 네온서울 풀박스 245 상태A 쿨거래,나이키 에어맥스 97,90000,199000,Nike
2021.11.08. 11:19,나이키 에어맥스 97 언디핏,나이키 에어맥스 97,98000,199000,Nike
2021.11.08. 11:18,EU 45(285) 나이키 에어맥스97 화이트 그레이,나이키 에어맥스 97,90000,199000,Nike
2021.11.08. 11:02,EU 39(245) 나이키 에어맥스97 데저트 샌드 비치,나이키 에어맥스 97,75000,199000,Nike
2021.11.08. 10:59,나이키 우먼스 런닝화 / 2020 베이퍼맥스/ 에어맥스업 / 에어맥스97 / 테일윈드79 흰검 / 비전 좋은가격에 팝니다,나이키 에어맥스 97,2000,199000,Nike
2021.11.08. 10:37,"앱상품&판매완료&나이키 에어맥스97 265 실버&60,000원&",나이키 에어맥스 97,60000,199000,Nike
2021.11.08. 10:06,나이키 에어맥스 97 (245) 1회 착화! 박스풀,나이키 에어맥스 97,100000,199000,Nike
2021.11.08. 09:53,(235)나이키 우먼 에어 맥스 97 울트라 베얼리그린,나이키 에어맥스 97,80000,199000,Nike
2021.11.08. 09:43,(정품 새상품)나이키 에어맥스 97 우먼스 245mm 트리플화이트 무료배송,나이키 에어맥스 97,135000,199000,Nike
2021.11.08. 09:42,나이키 에어맥스97 실버 270 새제품,나이키 에어맥스 97,2000,199000,Nike
2021.11.08. 09:16,나이키에어맥스 97 230사이즈,나이키 에어맥스 97,80000,199000,Nike
2021.11.08. 08:30,나이키 에어맥스97 QS,나이키 에어맥스 97,80000,199000,Nike
2021.11.08. 08:13,나이키 에어맥스 24-7 맥스97 235사이즈,나이키 에어맥스 97,40000,199000,Nike
2021.11.08. 00:13,[판매중] [265] 나이키 에어맥스 97 화이트 아이스 블루,나이키 에어맥스 97,2000,199000,Nike
2021.11.08. 00:13,[판매중] [265] 나이키 에어맥스 97 써밋화이트(뱀피),나이키 에어맥스 97,2000,199000,Nike
2021.11.08. 00:00,정품 나이키 에어맥스97 올화이트 우먼 8.5us/255,나이키 에어맥스 97,50000,199000,Nike
2021.11.07. 23:34,나이키 에어맥스 97 265,나이키 에어맥스 97,100000,199000,Nike
2021.11.07. 23:20,나이키 우먼스 에어맥스 97 트리플화이트 나코택 부착 정품 판매중,나이키 에어맥스 97,165000,199000,Nike
2021.11.07. 22:46,나이키 에어맥스97 페르시안 바이올렛 미개봉 275 팝니다,나이키 에어맥스 97,125000,199000,Nike
2021.11.07. 20:54,나이키 에어맥스97 리플렉티브 세일 270사이즈 판매합니다.,나이키 에어맥스 97,120000,199000,Nike
2021.11.07. 20:27,[280]나이키 에어맥스97 헤브 어 나이키 데이,나이키 에어맥스 97,340000,199000,Nike
2021.11.07. 19:59,"앱상품&판매완료&나이키 에어맥스97(US10표기280추천275)&55,000원&",나이키 에어맥스 97,55000,199000,Nike
2021.11.07. 19:44,나이키 에어맥스97 올화이트 새제품,나이키 에어맥스 97,170000,199000,Nike
2021.11.07. 19:07,"앱상품&나이키 에어맥스97(US10표기280추천275)&55,000원&",나이키 에어맥스 97,55000,199000,Nike
2021.11.07. 18:39,"앱상품&새상품) 230 나이키 에어맥스 97 올백&145,000원&",나이키 에어맥스 97,145000,199000,Nike
2021.11.07. 18:32,[삽니다]나이키 에어맥스 97 OG 18식 884421-001 올 실버불렛 280mm 새제품구합니다,나이키 에어맥스 97,2000,199000,Nike
2021.11.07. 18:29,나이키 에어맥스97 페르시안 바이올렛 265 사이즈,나이키 에어맥스 97,160000,199000,Nike
2021.11.07. 17:57,나이키 에어맥스97 95 실버올검,나이키 에어맥스 97,10000,199000,Nike
2021.11.07. 17:33,나이키 에어맥스 97 메탈릭실버 페르시안 바이올렛 새상품 275,나이키 에어맥스 97,125000,199000,Nike
